phi,Alice,CMS,ATLAS
-1.18,0.0132628,0.0130502,0.0128723
-1.17213,0.0134068,0.0131875,0.0130075
-1.16427,0.0135523,0.0133263,0.0131441
-1.1564,0.0136995,0.0134665,0.0132823
-1.14853,0.0138483,0.0136084,0.013422
-1.14067,0.0139988,0.0137517,0.0135632
-1.1328,0.014151,0.0138966,0.0137059
-1.12493,0.0143048,0.014043,0.0138501
-1.11707,0.0144603,0.014191,0.0139959
-1.1092,0.0146174,0.0143406,0.0141432
-1.10133,0.0147763,0.0144918,0.0142921
-1.09347,0.0149369,0.0146445,0.0144425
-1.0856,0.0150992,0.0147988,0.0145945
-1.07773,0.0152632,0.0149548,0.014748
-1.06987,0.0154289,0.0151123,0.0149032
-1.062,0.0155964,0.0152714,0.0150599
-1.05413,0.0157656,0.0154322,0.0152182
-1.04627,0.0159365,0.0155945,0.0153781
-1.0384,0.0161092,0.0157585,0.0155396
-1.03053,0.0162836,0.0159241,0.0157028
-1.02267,0.0164598,0.0160914,0.0158675
-1.0148,0.0166378,0.0162602,0.0160338
-1.00693,0.0168175,0.0164308,0.0162017
-0.999067,0.016999,0.0166029,0.0163713
-0.9912,0.0171823,0.0167767,0.0165424
-0.983333,0.0173673,0.0169521,0.0167152
-0.975467,0.0175541,0.0171292,0.0168896
-0.9676,0.0177427,0.0173079,0.0170656
-0.959733,0.0179331,0.0174883,0.0172432
-0.951867,0.0181252,0.0176703,0.0174225
-0.944,0.0183191,0.0178539,0.0176033
-0.936133,0.0185148,0.0180392,0.0177858
-0.928267,0.0187122,0.0182261,0.0179699
-0.9204,0.0189114,0.0184146,0.0181555
-0.912533,0.0191124,0.0186047,0.0183428
-0.904667,0.0193151,0.0187965,0.0185316
-0.8968,0.0195195,0.0189899,0.0187221
-0.888933,0.0197257,0.0191848,0.0189141
-0.881067,0.0199336,0.0193814,0.0191077
-0.8732,0.0201433,0.0195795,0.0193028
-0.865333,0.0203546,0.0197793,0.0194995
-0.857467,0.0205676,0.0199805,0.0196978
-0.8496,0.0207824,0.0201834,0.0198975
-0.841733,0.0209988,0.0203877,0.0200988
-0.833867,0.0212168,0.0205936,0.0203016
-0.826,0.0214365,0.0208011,0.0205059
-0.818133,0.0216579,0.02101,0.0207116
-0.810267,0.0218808,0.0212203,0.0209188
-0.8024,0.0221053,0.0214322,0.0211274
-0.794533,0.0223314,0.0216454,0.0213375
-0.786667,0.022559,0.0218601,0.0215489
-0.7788,0.0227882,0.0220762,0.0217618
-0.770933,0.0230189,0.0222937,0.0219759
-0.763067,0.023251,0.0225125,0.0221914
-0.7552,0.0234846,0.0227326,0.0224083
-0.747333,0.0237196,0.0229541,0.0226263
-0.739467,0.023956,0.0231768,0.0228457
-0.7316,0.0241938,0.0234007,0.0230663
-0.723733,0.0244329,0.0236259,0.023288
-0.715867,0.0246733,0.0238522,0.0235109
-0.708,0.0249149,0.0240796,0.023735
-0.700133,0.0251578,0.0243082,0.0239601
-0.692267,0.0254018,0.0245379,0.0241863
-0.6844,0.025647,0.0247686,0.0244135
-0.676533,0.0258933,0.0250002,0.0246417
-0.668667,0.0261406,0.0252328,0.0248708
-0.6608,0.0263889,0.0254664,0.0251008
-0.652933,0.0266382,0.0257008,0.0253317
-0.645067,0.0268884,0.025936,0.0255634
-0.6372,0.0271395,0.026172,0.0257958
-0.629333,0.0273914,0.0264087,0.026029
-0.621467,0.027644,0.026646,0.0262628
-0.6136,0.0278973,0.026884,0.0264972
-0.605733,0.0281513,0.0271225,0.0267321
-0.597867,0.0284058,0.0273616,0.0269676
-0.59,0.0286608,0.0276011,0.0272035
-0.582133,0.0289163,0.0278409,0.0274398
-0.574267,0.0291722,0.0280811,0.0276764
-0.5664,0.0294283,0.0283216,0.0279132
-0.558533,0.0296847,0.0285622,0.0281503
-0.550667,0.0299413,0.028803,0.0283874
-0.5428,0.030198,0.0290438,0.0286246
-0.534933,0.0304547,0.0292845,0.0288618
-0.527067,0.0307113,0.0295252,0.0290989
-0.5192,0.0309678,0.0297658,0.0293359
-0.511333,0.031224,0.030006,0.0295726
-0.503467,0.03148,0.030246,0.029809
-0.4956,0.0317355,0.0304855,0.0300449
-0.487733,0.0319905,0.0307246,0.0302804
-0.479867,0.032245,0.0309631,0.0305154
-0.472,0.0324988,0.0312009,0.0307496
-0.464133,0.0327518,0.0314379,0.0309832
-0.456267,0.0330039,0.0316742,0.0312159
-0.4484,0.0332551,0.0319094,0.0314477
-0.440533,0.0335052,0.0321437,0.0316785
-0.432667,0.0337541,0.0323768,0.0319081
-0.4248,0.0340017,0.0326087,0.0321366
-0.416933,0.034248,0.0328392,0.0323637
-0.409067,0.0344927,0.0330684,0.0325895
-0.4012,0.0347359,0.033296,0.0328137
-0.393333,0.0349773,0.0335219,0.0330364
-0.385467,0.0352168,0.0337461,0.0332573
-0.3776,0.0354544,0.0339685,0.0334764
-0.369733,0.03569,0.0341889,0.0336935
-0.361867,0.0359233,0.0344072,0.0339086
-0.354,0.0361543,0.0346234,0.0341216
