phi,Alice,CMS
-1.28,0.00246618,0.00251371
-1.27147,0.00251358,0.00255981
-1.26293,0.00256206,0.00260694
-1.2544,0.00261166,0.00265511
-1.24587,0.0026624,0.00270436
-1.23733,0.0027143,0.00275472
-1.2288,0.0027674,0.0028062
-1.22027,0.00282173,0.00285883
-1.21173,0.00287732,0.00291265
-1.2032,0.00293419,0.00296768
-1.19467,0.00299239,0.00302395
-1.18613,0.00305194,0.00308149
-1.1776,0.00311287,0.00314034
-1.16907,0.00317523,0.00320052
-1.16053,0.00323904,0.00326206
-1.152,0.00330434,0.00332501
-1.14347,0.00337118,0.00338939
-1.13493,0.00343958,0.00345524
-1.1264,0.00350959,0.0035226
-1.11787,0.00358124,0.00359149
-1.10933,0.00365458,0.00366197
-1.1008,0.00372966,0.00373407
-1.09227,0.0038065,0.00380782
-1.08373,0.00388516,0.00388327
-1.0752,0.00396569,0.00396046
-1.06667,0.00404812,0.00403944
-1.05813,0.00413251,0.00412024
-1.0496,0.0042189,0.00420291
-1.04107,0.00430734,0.00428749
-1.03253,0.00439789,0.00437404
-1.024,0.0044906,0.0044626
-1.01547,0.00458552,0.00455323
-1.00693,0.0046827,0.00464596
-0.9984,0.00478221,0.00474085
-0.989867,0.00488409,0.00483796
-0.981333,0.00498842,0.00493734
-0.9728,0.00509524,0.00503904
-0.964267,0.00520462,0.00514312
-0.955733,0.00531662,0.00524964
-0.9472,0.00543131,0.00535866
-0.938667,0.00554875,0.00547024
-0.930133,0.00566901,0.00558443
-0.9216,0.00579216,0.00570131
-0.913067,0.00591826,0.00582093
-0.904533,0.0060474,0.00594337
-0.896,0.00617965,0.00606868
-0.887467,0.00631507,0.00619695
-0.878933,0.00645375,0.00632823
-0.8704,0.00659576,0.00646261
-0.861867,0.00674119,0.00660015
-0.853333,0.00689011,0.00674092
-0.8448,0.00704261,0.00688502
-0.836267,0.00719878,0.0070325
-0.827733,0.00735869,0.00718346
-0.8192,0.00752244,0.00733797
