phi,Alice,CMS,ATLAS
-1,0.0137974,0.0135271,0.01334
-0.993333,0.0139575,0.0136792,0.0134898
-0.986667,0.0141194,0.013833,0.0136412
-0.98,0.0142831,0.0139885,0.0137943
-0.973333,0.0144487,0.0141457,0.0139491
-0.966667,0.0146161,0.0143046,0.0141056
-0.96,0.0147854,0.0144653,0.0142638
-0.953333,0.0149566,0.0146277,0.0144237
-0.946667,0.0151296,0.0147918,0.0145853
-0.94,0.0153045,0.0149577,0.0147487
-0.933333,0.0154814,0.0151253,0.0149138
-0.926667,0.0156601,0.0152948,0.0150807
-0.92,0.0158408,0.015466,0.0152493
-0.913333,0.0160235,0.015639,0.0154197
-0.906667,0.0162081,0.0158139,0.0155918
-0.9,0.0163946,0.0159905,0.0157658
-0.893333,0.0165831,0.016169,0.0159415
-0.886667,0.0167736,0.0163493,0.0161191
-0.88,0.0169661,0.0165314,0.0162984
-0.873333,0.0171605,0.0167154,0.0164796
-0.866667,0.017357,0.0169012,0.0166626
-0.86,0.0175554,0.0170889,0.0168474
-0.853333,0.0177559,0.0172784,0.0170341
-0.846667,0.0179584,0.0174698,0.0172226
-0.84,0.0181629,0.0176631,0.0174129
-0.833333,0.0183695,0.0178582,0.0176051
-0.826667,0.018578,0.0180552,0.0177991
-0.82,0.0187887,0.0182541,0.0179949
-0.813333,0.0190013,0.0184549,0.0181927
-0.806667,0.019216,0.0186576,0.0183922
-0.8,0.0194327,0.0188621,0.0185937
-0.793333,0.0196515,0.0190685,0.018797
-0.786667,0.0198723,0.0192768,0.0190021
-0.78,0.0200951,0.019487,0.0192091
-0.773333,0.02032,0.0196991,0.019418
-0.766667,0.0205469,0.019913,0.0196287
-0.76,0.0207759,0.0201288,0.0198412
-0.753333,0.0210069,0.0203465,0.0200556
-0.746667,0.0212399,0.020566,0.0202718
-0.74,0.021475,0.0207874,0.0204899
-0.733333,0.021712,0.0210107,0.0207097
-0.726667,0.0219511,0.0212358,0.0209314
-0.72,0.0221921,0.0214627,0.021155
-0.713333,0.0224352,0.0216915,0.0213803
-0.706667,0.0226802,0.021922,0.0216074
-0.7,0.0229272,0.0221544,0.0218363
-0.693333,0.0231761,0.0223886,0.0220669
-0.686667,0.023427,0.0226245,0.0222993
-0.68,0.0236798,0.0228623,0.0225334
-0.673333,0.0239345,0.0231017,0.0227693
-0.666667,0.0241911,0.0233429,0.0230069
-0.66,0.0244495,0.0235858,0.0232462
-0.653333,0.0247098,0.0238304,0.0234871
-0.646667,0.024972,0.0240767,0.0237297
-0.64,0.0252359,0.0243246,0.0239739
-0.633333,0.0255017,0.0245742,0.0242197
-0.626667,0.0257691,0.0248253,0.0244671
-0.62,0.0260384,0.0250781,0.0247161
-0.613333,0.0263093,0.0253324,0.0249666
-0.606667,0.0265818,0.0255882,0.0252186
-0.6,0.0268561,0.0258455,0.0254721
-0.593333,0.0271319,0.0261042,0.025727
-0.586667,0.0274093,0.0263644,0.0259833
-0.58,0.0276882,0.026626,0.026241
-0.573333,0.0279686,0.0268889,0.0265
-0.566667,0.0282504,0.0271532,0.0267604
-0.56,0.0285337,0.0274187,0.027022
-0.553333,0.0288183,0.0276855,0.0272848
-0.546667,0.0291043,0.0279535,0.0275488
-0.54,0.0293915,0.0282226,0.027814
-0.533333,0.0296799,0.0284928,0.0280802
-0.526667,0.0299696,0.0287641,0.0283475
-0.52,0.0302603,0.0290363,0.0286158
-0.513333,0.030552,0.0293096,0.028885
-0.506667,0.0308448,0.0295837,0.0291551
-0.5,0.0311385,0.0298586,0.029426
-0.493333,0.0314331,0.0301344,0.0296977
-0.486667,0.0317285,0.0304108,0.0299701
-0.48,0.0320247,0.0306879,0.0302432
-0.473333,0.0323215,0.0309656,0.0305169
-0.466667,0.0326189,0.0312439,0.030791
-0.46,0.0329168,0.0315226,0.0310657
-0.453333,0.0332152,0.0318017,0.0313407
-0.446667,0.033514,0.032081,0.031616
-0.44,0.033813,0.0323607,0.0318916
-0.433333,0.0341123,0.0326404,0.0321674
-0.426667,0.0344117,0.0329203,0.0324432
-0.42,0.0347111,0.0332002,0.032719
-0.413333,0.0350104,0.0334799,0.0329947
-0.406667,0.0353096,0.0337595,0.0332703
-0.4,0.0356085,0.0340388,0.0335456
-0.393333,0.0359071,0.0343178,0.0338205
-0.386667,0.0362052,0.0345963,0.0340951
-0.38,0.0365027,0.0348742,0.034369
-0.373333,0.0367996,0.0351515,0.0346423
-0.366667,0.0370957,0.035428,0.0349149
-0.36,0.0373909,0.0357037,0.0351867
-0.353333,0.0376851,0.0359783,0.0354574
-0.346667,0.0379781,0.0362519,0.0357272
-0.34,0.0382699,0.0365243,0.0359957
-0.333333,0.0385603,0.0367954,0.036263
