phi,Alice,CMS,ATLAS
-1.18,2.76089e-07,2.70805e-07,2.66451e-07
-1.17213,2.79936e-07,2.74496e-07,2.70079e-07
-1.16427,2.83838e-07,2.78239e-07,2.73758e-07
-1.1564,2.87794e-07,2.82033e-07,2.77487e-07
-1.14853,2.91806e-07,2.85879e-07,2.81267e-07
-1.14067,2.95873e-07,2.89779e-07,2.851e-07
-1.1328,2.99998e-07,2.93732e-07,2.88984e-07
-1.12493,3.04179e-07,2.97738e-07,2.92922e-07
-1.11707,3.08418e-07,3.01798e-07,2.96912e-07
-1.1092,3.12715e-07,3.05913e-07,3.00956e-07
-1.10133,3.1707e-07,3.10084e-07,3.05055e-07
-1.09347,3.21484e-07,3.14309e-07,3.09207e-07
-1.0856,3.25958e-07,3.18591e-07,3.13415e-07
-1.07773,3.30492e-07,3.22929e-07,3.17678e-07
-1.06987,3.35086e-07,3.27324e-07,3.21997e-07
-1.062,3.3974e-07,3.31775e-07,3.26372e-07
-1.05413,3.44456e-07,3.36285e-07,3.30803e-07
-1.04627,3.49234e-07,3.40852e-07,3.35291e-07
-1.0384,3.54073e-07,3.45477e-07,3.39836e-07
-1.03053,3.58975e-07,3.50161e-07,3.44439e-07
-1.02267,3.6394e-07,3.54904e-07,3.491e-07
-1.0148,3.68968e-07,3.59706e-07,3.53818e-07
-1.00693,3.74059e-07,3.64567e-07,3.58595e-07
-0.999067,3.79213e-07,3.69489e-07,3.63431e-07
-0.9912,3.84432e-07,3.7447e-07,3.68326e-07
-0.983333,3.89715e-07,3.79511e-07,3.7328e-07
-0.975467,3.95062e-07,3.84613e-07,3.78293e-07
-0.9676,4.00475e-07,3.89776e-07,3.83366e-07
-0.959733,4.05952e-07,3.94999e-07,3.88498e-07
-0.951867,4.11494e-07,4.00283e-07,3.9369e-07
-0.944,4.17101e-07,4.05628e-07,3.98942e-07
-0.936133,4.22774e-07,4.11035e-07,4.04255e-07
-0.928267,4.28512e-07,4.16502e-07,4.09627e-07
-0.9204,4.34315e-07,4.22031e-07,4.15059e-07
-0.912533,4.40184e-07,4.27622e-07,4.20552e-07
-0.904667,4.46119e-07,4.33273e-07,4.26105e-07
-0.8968,4.52119e-07,4.38985e-07,4.31717e-07
-0.888933,4.58184e-07,4.44759e-07,4.3739e-07
-0.881067,4.64315e-07,4.50594e-07,4.43123e-07
-0.8732,4.7051e-07,4.56489e-07,4.48915e-07
-0.865333,4.76771e-07,4.62445e-07,4.54767e-07
-0.857467,4.83097e-07,4.68462e-07,4.60678e-07
-0.8496,4.89487e-07,4.74538e-07,4.66649e-07
-0.841733,4.95941e-07,4.80675e-07,4.72678e-07
