phi,Alice,CMS,ATLAS
-1,0.012345,0.0121094,0.0118878
-0.993333,0.0124877,0.0122449,0.0120275
-0.986667,0.0126321,0.0123819,0.0121689
-0.98,0.0127781,0.0125205,0.012312
-0.973333,0.0129257,0.0126605,0.0124567
-0.966667,0.0130749,0.0128021,0.0126031
-0.96,0.0132258,0.0129452,0.0127511
-0.953333,0.0133784,0.0130898,0.0129009
-0.946667,0.0135326,0.013236,0.0130524
-0.94,0.0136885,0.0133837,0.0132056
-0.933333,0.0138461,0.013533,0.0133606
-0.926667,0.0140054,0.0136838,0.0135173
-0.92,0.0141664,0.0138363,0.0136757
-0.913333,0.0143291,0.0139903,0.013836
-0.906667,0.0144935,0.0141459,0.013998
-0.9,0.0146597,0.0143032,0.0141617
-0.893333,0.0148276,0.014462,0.0143273
-0.886667,0.0149972,0.0146224,0.0144947
-0.88,0.0151687,0.0147845,0.0146639
-0.873333,0.0153418,0.0149482,0.014835
-0.866667,0.0155167,0.0151135,0.0150079
-0.86,0.0156934,0.0152805,0.0151826
-0.853333,0.0158719,0.015449,0.0153591
-0.846667,0.0160522,0.0156193,0.0155375
-0.84,0.0162342,0.0157912,0.0157178
-0.833333,0.016418,0.0159647,0.0159
-0.826667,0.0166036,0.0161399,0.016084
-0.82,0.016791,0.0163167,0.0162699
-0.813333,0.0169802,0.0164952,0.0164577
-0.806667,0.0171712,0.0166753,0.0166474
